ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
01810.HK,20180709,16.6,17.0,16.0,16.8,17.0,-0.2,-1.18,462182642.0,7682445645.04
01810.HK,20180710,17.0,19.34,17.0,19.0,16.8,2.2,13.1,534072218.0,9750590391.8
01810.HK,20180711,18.5,19.8,18.3,19.0,19.0,0.0,0.0,374721138.0,7222885440.04
01810.HK,20180712,19.4,19.7,19.02,19.26,19.0,0.26,1.37,132592630.0,2569988013.94
01810.HK,20180713,19.6,21.8,19.52,21.45,19.26,2.19,11.37,364065075.0,7622371425.1
01810.HK,20180716,19.94,21.3,19.4,21.05,21.45,-0.4,-1.86,211621432.0,4350350755.04
01810.HK,20180717,21.45,21.7,20.55,20.9,21.05,-0.15,-0.71,97690237.0,2063298013.55
01810.HK,20180718,21.4,22.2,21.4,21.55,20.9,0.65,3.11,142583771.0,3117816097.5
01810.HK,20180719,21.7,21.9,19.82,20.1,21.55,-1.45,-6.73,153563433.0,3143126423.45
01810.HK,20180720,20.1,20.45,19.5,19.88,20.1,-0.22,-1.09,111713800.0,2218408865.9
01810.HK,20180723,19.88,19.98,19.0,19.02,19.88,-0.86,-4.33,82544900.0,1603506245.3
01810.HK,20180724,19.1,19.7,18.2,18.24,19.02,-0.78,-4.1,113828488.0,2154645653.36
01810.HK,20180725,18.56,18.88,18.18,18.58,18.24,0.34,1.86,72027810.0,1332254245.28
01810.HK,20180726,18.8,18.84,18.12,18.3,18.58,-0.28,-1.51,40951672.0,750903595.28
01810.HK,20180727,18.32,19.12,18.3,19.04,18.3,0.74,4.04,68204685.0,1289480911.32
01810.HK,20180730,18.86,18.92,18.32,18.68,19.04,-0.36,-1.89,43124305.0,798930187.84
01810.HK,20180731,18.42,18.48,17.42,17.6,18.68,-1.08,-5.78,100190678.0,1776264206.8
01810.HK,20180801,17.94,18.26,17.56,17.86,17.6,0.26,1.48,42088808.0,752929994.88
01810.HK,20180802,18.0,18.14,16.96,17.26,17.86,-0.6,-3.36,80125110.0,1382415334.92
01810.HK,20180803,17.32,17.68,16.9,17.0,17.26,-0.26,-1.51,47386901.0,810512046.64
01810.HK,20180806,17.2,17.68,17.1,17.22,17.0,0.22,1.29,39896098.0,693689866.58
01810.HK,20180807,17.3,17.62,17.22,17.42,17.22,0.2,1.16,29000537.0,505567041.48
01810.HK,20180808,17.5,17.62,17.02,17.14,17.42,-0.28,-1.61,37947677.0,658190675.54
01810.HK,20180809,17.4,18.6,17.26,18.08,17.14,0.94,5.48,109541974.0,1974087962.44
01810.HK,20180810,18.3,18.6,18.0,18.16,18.08,0.08,0.44,54535948.0,996108511.06
01810.HK,20180813,17.98,18.06,17.24,17.44,18.16,-0.72,-3.96,49053111.0,859866775.82
01810.HK,20180814,17.6,17.6,17.0,17.16,17.44,-0.28,-1.61,51105928.0,876129357.0
01810.HK,20180815,17.28,17.34,16.22,16.3,17.16,-0.86,-5.01,79753065.0,1309370153.92
01810.HK,20180816,16.16,16.6,15.52,16.24,16.3,-0.06,-0.37,60546391.0,971276075.62
01810.HK,20180817,16.6,16.74,16.26,16.36,16.24,0.12,0.74,26655983.0,439373460.94
01810.HK,20180820,16.6,16.68,16.28,16.46,16.36,0.1,0.61,34082872.0,561217582.26
01810.HK,20180821,16.8,17.44,16.56,17.4,16.46,0.94,5.71,75830829.0,1300129957.78
01810.HK,20180822,17.78,17.78,17.08,17.68,17.4,0.28,1.61,47002451.0,825787833.36
01810.HK,20180823,18.22,18.96,17.44,17.44,17.68,-0.24,-1.36,115613435.0,2105050482.48
01810.HK,20180824,17.2,17.34,16.92,17.04,17.44,-0.4,-2.29,38150978.0,651833884.397
01810.HK,20180827,17.34,17.48,17.08,17.32,17.04,0.28,1.64,29085179.0,504843209.14
01810.HK,20180828,17.6,17.62,16.94,17.12,17.32,-0.2,-1.15,26264447.0,450979785.754
01810.HK,20180829,17.12,17.28,17.02,17.14,17.12,0.02,0.12,15457732.0,264667123.84
01810.HK,20180830,17.28,17.28,17.04,17.14,17.14,0.0,0.0,16052634.0,274818118.2
01810.HK,20180831,16.88,16.98,16.62,16.8,17.14,-0.34,-1.98,28107696.0,470445701.0
01810.HK,20180903,16.8,16.86,16.38,16.5,16.8,-0.3,-1.79,20242557.0,334959314.4
01810.HK,20180904,16.62,16.94,16.5,16.74,16.5,0.24,1.45,15882122.0,266426105.54
01810.HK,20180905,16.7,16.74,16.52,16.56,16.74,-0.18,-1.08,16304906.0,270426486.26
01810.HK,20180906,16.56,16.82,16.42,16.46,16.56,-0.1,-0.6,26331333.0,437000124.82
01810.HK,20180907,16.5,16.78,16.36,16.5,16.46,0.04,0.24,15029354.0,248465531.2
01810.HK,20180910,16.5,16.56,15.84,16.04,16.5,-0.46,-2.79,33387796.0,536985800.0
01810.HK,20180911,16.1,16.2,16.0,16.12,16.04,0.08,0.5,16082229.0,258858255.78
01810.HK,20180912,16.18,16.26,15.58,15.66,16.12,-0.46,-2.85,29186620.0,464912357.3
01810.HK,20180913,16.0,16.4,16.0,16.4,15.66,0.74,4.73,29462632.0,476702582.8
01810.HK,20180914,16.66,16.84,16.56,16.68,16.4,0.28,1.71,28920836.0,483161479.0
01810.HK,20180917,16.5,16.56,16.1,16.42,16.68,-0.26,-1.56,10710658.0,175289448.4
01810.HK,20180918,16.42,16.5,16.1,16.28,16.42,-0.14,-0.85,21242979.0,345414632.4
01810.HK,20180919,16.4,16.6,16.3,16.56,16.28,0.28,1.72,18679934.0,307478202.36
01810.HK,20180920,16.54,16.72,16.3,16.48,16.56,-0.08,-0.48,13270198.0,218824364.56
01810.HK,20180921,16.6,16.76,16.46,16.76,16.48,0.28,1.7,22287398.0,371181243.76
01810.HK,20180924,16.6,16.64,16.26,16.5,16.76,-0.26,-1.55,11639050.0,191088337.06
01810.HK,20180926,16.4,16.5,16.28,16.36,16.5,-0.14,-0.85,11449568.0,187465870.24
01810.HK,20180927,16.38,16.38,15.96,15.96,16.36,-0.4,-2.44,26452436.0,425591444.4
01810.HK,20180928,16.02,16.16,15.2,15.5,15.96,-0.46,-2.88,57743921.0,896940959.86
01810.HK,20181002,15.64,15.64,14.8,15.0,15.5,-0.5,-3.23,32841988.0,495187932.36
01810.HK,20181003,15.0,15.0,14.58,14.88,15.0,-0.12,-0.8,27564091.0,406889446.97
01810.HK,20181004,14.84,14.88,14.26,14.5,14.88,-0.38,-2.55,38659662.0,557957907.98
01810.HK,20181005,14.1,14.38,14.0,14.28,14.5,-0.22,-1.52,28210105.0,399467395.27
01810.HK,20181008,14.2,14.28,13.54,13.58,14.28,-0.7,-4.9,46429246.0,636128723.66
01810.HK,20181009,13.74,13.96,13.58,13.58,13.58,0.0,0.0,26985626.0,371642556.3
